,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
$E(A(n))$,0.87,1.73,2.51,3.21,3.83,4.40,4.91,5.38,5.81,6.21,6.59,6.94,7.27,7.58,7.88,8.16,8.43,8.68,8.92,9.16,9.38,9.60,9.80,10.00,10.20,10.38,10.57,10.74,10.91,11.07,11.23,11.39,11.54,11.69,11.83,11.97,12.11,12.24,12.37,12.50,12.62,12.75,12.87,12.98,13.10,13.21,13.32,13.43,13.53,13.64,13.74,13.84,13.94,14.03,14.13,14.22,14.32,14.41,14.50,14.58,14.67,14.75,14.84,14.92,15.00,15.08,15.16,15.24,15.32,15.39,15.47,15.54,15.62,15.69,15.76,15.83,15.90,15.97,16.04,16.10,16.17,16.23,16.30,16.36,16.43,16.49,16.55,16.61,16.67,16.73,16.79,16.85,16.91,16.97,17.02,17.08,17.14,17.19,17.25,17.30,17.36,17.41,17.46,17.51,17.57,17.62,17.67,17.72,17.77,17.82,17.87,17.92,17.96,18.01,18.06,18.11,18.15,18.20,18.25,18.29,18.34,18.38,18.43,18.47,18.51,18.56,18.60,18.64,18.69,18.73,18.77,18.81,18.85,18.90,18.94,18.98,19.02,19.06,19.10,19.14,19.17,19.21,19.25,19.29,19.33,19.37,19.40,19.44,19.48,19.52,19.55,19.59,19.62,19.66,19.70,19.73,19.77,19.80,19.84,19.87,19.91,19.94,19.97,20.01,20.04,20.07,20.11,20.14,20.17,20.21,20.24,20.27,20.30,20.34,20.37,20.40,20.43,20.46,20.49,20.52,20.55,20.58,20.62,20.65,20.68,20.71,20.74,20.76,20.79,20.82,20.85,20.88,20.91,20.94,20.97,21.00,21.03,21.05
$Mean(A(n))$,0.86,1.73,2.52,3.22,3.84,4.39,4.90,5.39,5.81,6.21,6.59,6.94,7.27,7.59,7.89,8.16,8.42,8.68,8.92,9.17,9.38,9.59,9.79,10.02,10.20,10.37,10.55,10.74,10.90,11.08,11.23,11.40,11.55,11.70,11.84,11.98,12.12,12.23,12.38,12.50,12.63,12.75,12.87,12.99,13.09,13.20,13.33,13.43,13.54,13.64,13.75,13.84,13.93,14.03,14.13,14.22,14.31,14.39,14.51,14.57,14.68,14.75,14.82,14.93,15.02,15.08,15.16,15.24,15.31,15.41,15.46,15.54,15.62,15.68,15.76,15.84,15.90,15.97,16.05,16.10,16.17,16.23,16.30,16.36,16.45,16.50,16.55,16.62,16.68,16.74,16.79,16.85,16.92,16.96,17.01,17.07,17.13,17.19,17.24,17.30,17.36,17.40,17.46,17.52,17.56,17.61,17.66,17.73,17.77,17.82,17.88,17.90,17.96,18.01,18.07,18.12,18.16,18.20,18.26,18.30,18.34,18.38,18.44,18.46,18.53,18.55,18.59,18.63,18.68,18.72,18.76,18.80,18.86,18.90,18.94,18.99,19.01,19.05,19.10,19.13,19.18,19.20,19.26,19.29,19.32,19.37,19.39,19.45,19.49,19.51,19.55,19.59,19.62,19.67,19.70,19.73,19.77,19.80,19.84,19.88,19.90,19.95,19.99,20.01,20.04,20.08,20.09,20.13,20.18,20.21,20.23,20.28,20.31,20.33,20.38,20.40,20.43,20.47,20.49,20.53,20.53,20.58,20.61,20.64,20.67,20.70,20.74,20.75,20.80,20.82,20.87,20.88,20.92,20.94,20.97,21.01,21.02,21.05
$std_{pos}(n)$,1.22,1.60,1.83,1.98,2.10,2.15,2.21,2.29,2.33,2.34,2.37,2.41,2.42,2.44,2.46,2.49,2.49,2.50,2.52,2.51,2.52,2.52,2.54,2.55,2.55,2.56,2.55,2.55,2.56,2.56,2.58,2.59,2.57,2.58,2.58,2.59,2.58,2.58,2.58,2.60,2.58,2.60,2.60,2.60,2.58,2.59,2.60,2.60,2.58,2.60,2.59,2.61,2.59,2.61,2.59,2.60,2.60,2.60,2.61,2.61,2.62,2.61,2.60,2.61,2.62,2.63,2.61,2.62,2.60,2.62,2.59,2.61,2.62,2.61,2.60,2.62,2.61,2.62,2.62,2.62,2.62,2.62,2.60,2.61,2.61,2.62,2.61,2.62,2.62,2.61,2.60,2.61,2.63,2.62,2.62,2.62,2.61,2.61,2.61,2.61,2.62,2.60,2.62,2.61,2.62,2.63,2.62,2.62,2.62,2.61,2.62,2.61,2.62,2.62,2.63,2.61,2.63,2.61,2.61,2.62,2.62,2.62,2.62,2.62,2.64,2.60,2.61,2.62,2.60,2.62,2.61,2.61,2.61,2.61,2.60,2.62,2.61,2.62,2.61,2.62,2.62,2.61,2.60,2.62,2.61,2.60,2.61,2.62,2.61,2.62,2.60,2.62,2.61,2.61,2.61,2.63,2.62,2.61,2.62,2.61,2.62,2.62,2.62,2.60,2.61,2.61,2.61,2.61,2.61,2.61,2.60,2.61,2.61,2.61,2.59,2.60,2.60,2.61,2.61,2.61,2.63,2.60,2.61,2.60,2.61,2.61,2.60,2.60,2.60,2.61,2.62,2.60,2.61,2.62,2.59,2.61,2.61,2.61
$std_{neg}(n)$,0.56,0.91,1.14,1.32,1.44,1.54,1.61,1.68,1.73,1.77,1.82,1.85,1.88,1.91,1.92,1.94,1.95,1.98,1.99,2.00,2.02,2.02,2.03,2.04,2.05,2.07,2.07,2.07,2.08,2.08,2.09,2.10,2.09,2.11,2.12,2.12,2.12,2.11,2.13,2.14,2.13,2.13,2.14,2.15,2.12,2.15,2.15,2.15,2.15,2.16,2.16,2.17,2.16,2.15,2.16,2.16,2.16,2.17,2.18,2.17,2.17,2.17,2.17,2.18,2.17,2.18,2.18,2.18,2.18,2.18,2.18,2.18,2.17,2.18,2.18,2.18,2.19,2.18,2.17,2.18,2.19,2.20,2.20,2.20,2.19,2.18,2.19,2.19,2.19,2.18,2.18,2.19,2.19,2.19,2.18,2.21,2.19,2.19,2.19,2.19,2.20,2.20,2.19,2.20,2.20,2.20,2.21,2.19,2.21,2.20,2.20,2.19,2.19,2.19,2.20,2.20,2.21,2.20,2.20,2.20,2.19,2.20,2.19,2.20,2.20,2.20,2.20,2.20,2.20,2.21,2.19,2.20,2.21,2.20,2.20,2.21,2.21,2.20,2.20,2.21,2.20,2.20,2.20,2.21,2.21,2.21,2.20,2.21,2.21,2.20,2.19,2.21,2.20,2.21,2.21,2.20,2.22,2.21,2.22,2.21,2.20,2.21,2.20,2.20,2.19,2.20,2.20,2.21,2.20,2.20,2.20,2.20,2.20,2.21,2.20,2.20,2.20,2.21,2.21,2.20,2.21,2.20,2.21,2.20,2.19,2.20,2.20,2.20,2.21,2.20,2.21,2.20,2.21,2.19,2.20,2.20,2.21,2.20
$quant_{0.8}(n)$,1.38,2.60,3.59,4.44,5.16,5.80,6.38,6.93,7.39,7.81,8.25,8.63,8.98,9.31,9.61,9.91,10.19,10.46,10.70,10.97,11.19,11.40,11.62,11.85,12.04,12.22,12.39,12.59,12.77,12.94,13.10,13.27,13.41,13.57,13.73,13.88,14.00,14.11,14.28,14.41,14.51,14.65,14.77,14.89,14.97,15.11,15.23,15.33,15.45,15.55,15.66,15.78,15.85,15.95,16.05,16.13,16.22,16.30,16.46,16.50,16.60,16.67,16.74,16.85,16.95,17.02,17.09,17.16,17.24,17.34,17.40,17.46,17.54,17.61,17.69,17.76,17.83,17.89,17.98,18.04,18.11,18.16,18.24,18.29,18.38,18.44,18.48,18.56,18.61,18.68,18.73,18.78,18.87,18.90,18.94,19.03,19.06,19.12,19.18,19.22,19.30,19.34,19.40,19.46,19.50,19.55,19.61,19.66,19.73,19.76,19.83,19.82,19.90,19.96,20.01,20.06,20.11,20.14,20.19,20.24,20.28,20.33,20.36,20.40,20.48,20.50,20.54,20.57,20.63,20.66,20.71,20.75,20.81,20.84,20.88,20.94,20.96,21.00,21.05,21.08,21.13,21.15,21.20,21.24,21.28,21.31,21.33,21.39,21.42,21.44,21.48,21.52,21.57,21.61,21.66,21.68,21.72,21.74,21.78,21.82,21.84,21.89,21.94,21.94,21.98,22.01,22.04,22.09,22.12,22.15,22.17,22.21,22.25,22.29,22.31,22.34,22.37,22.43,22.45,22.46,22.48,22.52,22.55,22.58,22.62,22.64,22.69,22.70,22.74,22.76,22.81,22.82,22.87,22.89,22.91,22.95,22.98,22.99
$quant_{0.95}(n)$,2.59,4.13,5.34,6.31,7.14,7.80,8.39,9.01,9.53,9.94,10.38,10.78,11.12,11.47,11.84,12.14,12.41,12.67,12.96,13.19,13.42,13.63,13.86,14.11,14.29,14.49,14.65,14.83,15.01,15.20,15.38,15.55,15.67,15.85,15.98,16.15,16.27,16.38,16.52,16.68,16.78,16.92,17.05,17.19,17.25,17.37,17.51,17.62,17.72,17.83,17.91,18.06,18.10,18.26,18.31,18.44,18.48,18.59,18.73,18.78,18.88,18.97,19.03,19.16,19.25,19.33,19.36,19.46,19.51,19.65,19.65,19.76,19.86,19.88,19.93,20.07,20.13,20.19,20.25,20.32,20.40,20.45,20.53,20.61,20.64,20.72,20.76,20.85,20.92,20.93,20.98,21.07,21.15,21.17,21.24,21.29,21.32,21.41,21.44,21.52,21.58,21.59,21.68,21.73,21.79,21.85,21.88,21.94,22.02,22.05,22.09,22.11,22.20,22.23,22.32,22.36,22.41,22.42,22.46,22.53,22.57,22.60,22.66,22.69,22.77,22.74,22.82,22.86,22.86,22.97,22.99,23.04,23.09,23.14,23.14,23.21,23.25,23.24,23.31,23.36,23.39,23.41,23.47,23.53,23.55,23.56,23.59,23.66,23.72,23.73,23.75,23.84,23.84,23.88,23.90,23.98,23.99,24.02,24.08,24.11,24.10,24.18,24.20,24.22,24.22,24.29,24.30,24.37,24.43,24.41,24.42,24.52,24.51,24.55,24.56,24.59,24.63,24.71,24.70,24.75,24.77,24.75,24.80,24.82,24.87,24.91,24.94,24.96,25.00,25.05,25.09,25.08,25.14,25.16,25.15,25.19,25.24,25.27
$quant_{0.99}(n)$,3.96,5.81,7.18,8.25,9.12,9.74,10.43,11.08,11.60,12.06,12.41,12.82,13.31,13.62,13.98,14.29,14.57,14.87,15.17,15.36,15.58,15.76,16.04,16.24,16.42,16.63,16.84,16.94,17.20,17.38,17.56,17.80,17.83,18.05,18.18,18.39,18.44,18.57,18.72,18.84,18.93,19.14,19.24,19.31,19.41,19.55,19.73,19.77,19.85,19.98,20.04,20.19,20.24,20.40,20.47,20.62,20.66,20.81,20.87,20.97,21.08,21.08,21.13,21.30,21.41,21.47,21.59,21.70,21.63,21.80,21.75,21.90,21.99,22.10,22.16,22.28,22.23,22.44,22.50,22.51,22.56,22.65,22.65,22.73,22.79,22.90,22.88,23.03,23.09,23.10,23.14,23.21,23.28,23.38,23.41,23.48,23.55,23.59,23.61,23.63,23.76,23.75,23.81,23.87,23.97,24.02,24.04,24.13,24.12,24.24,24.28,24.28,24.42,24.39,24.45,24.47,24.60,24.60,24.62,24.69,24.69,24.80,24.87,24.83,24.93,24.93,24.97,25.03,25.01,25.11,25.10,25.14,25.21,25.19,25.28,25.39,25.41,25.44,25.42,25.56,25.58,25.54,25.63,25.65,25.69,25.74,25.80,25.91,25.86,25.94,25.93,26.00,25.97,26.02,26.07,26.12,26.13,26.17,26.27,26.26,26.32,26.37,26.40,26.37,26.40,26.52,26.44,26.49,26.52,26.58,26.64,26.66,26.66,26.67,26.70,26.76,26.76,26.78,26.85,26.94,26.96,26.94,26.97,27.02,27.06,27.07,27.04,27.09,27.11,27.18,27.28,27.21,27.28,27.29,27.26,27.42,27.35,27.51
$quant_{0.999}(n)$,5.98,8.02,9.52,10.64,11.57,12.46,13.12,13.99,14.24,14.61,14.86,15.46,15.97,16.43,16.81,17.18,17.18,17.58,17.89,18.17,18.56,18.61,18.85,19.09,19.27,19.41,19.43,19.70,19.87,20.04,20.37,20.73,20.43,20.69,21.09,21.37,21.23,21.22,21.56,21.62,21.66,21.80,21.85,22.15,22.20,22.31,22.44,22.40,22.52,22.75,22.76,22.98,23.03,23.09,23.15,23.29,23.26,23.48,23.52,23.71,23.91,23.86,23.76,24.22,24.06,24.24,24.16,24.47,24.40,24.59,24.56,24.68,24.67,24.85,24.93,25.10,25.09,25.29,25.09,25.13,25.46,25.47,25.30,25.37,25.56,25.47,25.65,25.80,25.81,25.91,25.63,25.85,25.89,26.31,26.13,26.18,26.31,26.31,26.46,26.12,26.48,26.47,26.58,26.67,26.78,26.79,26.89,27.03,26.72,26.77,26.82,27.12,26.97,27.04,27.42,27.11,27.25,27.17,27.35,27.53,27.51,27.50,27.55,27.69,27.89,27.44,27.66,27.61,27.59,27.89,27.78,27.87,28.01,27.84,27.96,28.09,27.93,28.07,28.20,28.27,28.31,28.37,28.21,28.38,28.42,28.41,28.72,28.47,28.28,28.63,28.51,28.57,28.66,28.83,28.82,28.86,28.94,28.81,28.92,28.98,29.19,29.00,29.09,29.01,29.07,29.26,28.98,29.08,29.27,29.34,29.34,29.34,29.38,29.41,29.26,29.44,29.55,29.41,29.58,29.67,29.69,29.81,29.78,29.77,29.82,29.63,29.76,29.89,29.78,29.93,30.04,29.90,30.02,30.26,29.95,30.18,30.12,30.11
$quant_{0.9999}(n)$,7.71,10.54,11.90,13.19,14.72,15.08,15.78,17.27,16.97,16.96,17.49,17.94,18.84,18.78,19.94,19.64,19.62,20.17,20.82,20.95,21.22,21.72,21.63,21.33,21.75,22.81,21.95,22.86,22.66,22.62,22.99,23.07,23.43,23.10,24.01,23.76,24.20,24.21,24.06,24.94,24.54,25.19,24.60,24.52,25.22,25.68,25.55,25.83,25.56,25.78,25.59,25.31,25.63,25.58,26.74,25.29,26.46,25.90,26.34,26.35,26.60,26.28,25.98,26.98,27.20,27.14,26.43,26.91,27.40,27.29,26.75,27.85,27.61,27.62,27.63,28.49,28.26,27.96,28.22,27.26,28.79,28.43,27.21,27.95,28.56,28.32,28.53,28.45,28.86,28.58,28.14,27.95,29.04,29.27,29.39,28.76,28.32,28.60,29.03,28.53,28.92,28.76,29.14,28.92,29.27,29.77,30.03,29.65,29.73,28.70,29.90,29.80,28.99,29.88,30.01,29.90,29.60,29.96,29.55,29.82,30.29,29.98,30.39,30.00,30.70,29.87,30.61,30.31,30.85,30.27,29.81,30.83,30.10,29.98,30.53,30.93,30.19,30.44,30.83,31.49,31.25,30.81,30.87,31.18,31.48,30.97,30.73,31.03,31.71,31.25,31.49,31.30,31.04,31.49,31.61,31.27,31.47,31.45,31.10,31.31,32.62,31.29,32.04,31.72,32.10,31.94,31.78,31.65,31.94,31.61,31.92,31.49,31.60,32.29,31.28,32.35,32.98,31.81,32.05,32.81,32.27,32.20,32.28,32.51,32.49,31.70,31.86,32.18,32.99,33.39,32.98,32.50,31.96,33.02,33.59,33.02,32.66,32.68
