,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
$E(P(n))$,5.32,6.47,7.31,7.96,8.50,8.94,9.33,9.67,9.97,10.24,10.48,10.70,10.91,11.10,11.27,11.44,11.59,11.73,11.87,12.00,12.12,12.24,12.35,12.45,12.56,12.65,12.75,12.84,12.92,13.00,13.08,13.16,13.24,13.31,13.38,13.45,13.51,13.58,13.64,13.70,13.76,13.82,13.87,13.93,13.98,14.03,14.08,14.13,14.18,14.23,14.27,14.32,14.36,14.41,14.45,14.49,14.53,14.57,14.61,14.65,14.69,14.73,14.76,14.80,14.83,14.87,14.90,14.94,14.97,15.00,15.04,15.07,15.10,15.13,15.16,15.19,15.22,15.25,15.28,15.30,15.33,15.36,15.39,15.41,15.44,15.47,15.49,15.52,15.54,15.57,15.59,15.62,15.64,15.66,15.69,15.71,15.73,15.76,15.78,15.80,15.82,15.84,15.86,15.89,15.91,15.93,15.95,15.97,15.99,16.01,16.03,16.05,16.07,16.09,16.11,16.12,16.14,16.16,16.18,16.20,16.22,16.23,16.25,16.27,16.29,16.30,16.32,16.34,16.35,16.37,16.39,16.40,16.42,16.43,16.45,16.47,16.48,16.50,16.51,16.53,16.54,16.56,16.57,16.59,16.60,16.62,16.63,16.65,16.66,16.67,16.69,16.70,16.72,16.73,16.74,16.76,16.77,16.78,16.80,16.81,16.82,16.84,16.85,16.86,16.87,16.89,16.90,16.91,16.92,16.94,16.95,16.96,16.97,16.99,17.00,17.01,17.02,17.03,17.04,17.06,17.07,17.08,17.09,17.10,17.11,17.12,17.14,17.15,17.16,17.17,17.18,17.19,17.20,17.21,17.22,17.23,17.24,17.25
$Mean(P(n))$,5.31,6.48,7.31,7.97,8.50,8.94,9.33,9.67,9.97,10.23,10.48,10.70,10.91,11.09,11.28,11.44,11.59,11.73,11.87,12.01,12.12,12.23,12.34,12.46,12.55,12.64,12.73,12.83,12.92,13.01,13.08,13.17,13.24,13.32,13.38,13.46,13.52,13.57,13.65,13.70,13.76,13.82,13.87,13.93,13.98,14.03,14.09,14.13,14.18,14.23,14.28,14.32,14.36,14.41,14.45,14.49,14.53,14.57,14.62,14.65,14.69,14.72,14.75,14.80,14.84,14.87,14.90,14.94,14.97,15.01,15.03,15.07,15.10,15.13,15.16,15.19,15.22,15.25,15.28,15.30,15.33,15.36,15.39,15.41,15.45,15.47,15.49,15.52,15.55,15.57,15.59,15.61,15.65,15.66,15.68,15.71,15.73,15.75,15.77,15.80,15.82,15.84,15.86,15.89,15.91,15.93,15.95,15.97,15.99,16.01,16.03,16.04,16.06,16.09,16.11,16.13,16.15,16.16,16.18,16.20,16.22,16.23,16.26,16.26,16.29,16.30,16.32,16.33,16.35,16.37,16.38,16.40,16.42,16.44,16.45,16.47,16.48,16.50,16.51,16.53,16.54,16.55,16.58,16.59,16.60,16.62,16.63,16.65,16.67,16.67,16.68,16.70,16.71,16.73,16.74,16.76,16.77,16.78,16.80,16.81,16.82,16.84,16.86,16.86,16.87,16.89,16.89,16.91,16.93,16.94,16.95,16.97,16.98,16.98,17.00,17.01,17.03,17.04,17.04,17.06,17.06,17.08,17.09,17.10,17.11,17.12,17.14,17.14,17.16,17.17,17.18,17.19,17.21,17.21,17.22,17.24,17.24,17.25
$std_{pos}(n)$,2.11,2.06,2.01,1.95,1.91,1.85,1.82,1.81,1.78,1.74,1.72,1.71,1.68,1.66,1.65,1.63,1.62,1.61,1.61,1.58,1.57,1.56,1.55,1.55,1.53,1.53,1.52,1.51,1.50,1.49,1.49,1.48,1.46,1.47,1.46,1.46,1.45,1.44,1.43,1.44,1.42,1.42,1.42,1.41,1.40,1.40,1.40,1.39,1.38,1.39,1.37,1.38,1.37,1.37,1.37,1.36,1.36,1.36,1.36,1.35,1.35,1.35,1.34,1.34,1.34,1.34,1.33,1.33,1.32,1.32,1.31,1.32,1.32,1.32,1.31,1.31,1.31,1.30,1.30,1.30,1.30,1.30,1.29,1.29,1.29,1.29,1.28,1.28,1.28,1.28,1.27,1.27,1.28,1.27,1.28,1.27,1.26,1.26,1.26,1.26,1.26,1.25,1.26,1.25,1.26,1.26,1.25,1.25,1.25,1.25,1.25,1.24,1.25,1.24,1.24,1.24,1.24,1.24,1.23,1.23,1.23,1.24,1.23,1.23,1.24,1.22,1.22,1.22,1.22,1.23,1.22,1.22,1.22,1.22,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.20,1.21,1.20,1.20,1.20,1.20,1.20,1.20,1.19,1.20,1.20,1.19,1.19,1.20,1.19,1.19,1.20,1.19,1.19,1.19,1.19,1.19,1.19,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.17,1.17,1.17,1.17,1.18,1.17,1.17,1.18,1.17,1.17,1.16,1.17,1.17,1.17,1.16,1.16,1.17,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16
$std_{neg}(n)$,1.77,1.79,1.77,1.76,1.72,1.69,1.65,1.63,1.60,1.58,1.57,1.55,1.53,1.52,1.50,1.48,1.47,1.46,1.45,1.43,1.44,1.41,1.41,1.39,1.39,1.38,1.37,1.36,1.35,1.34,1.34,1.33,1.32,1.32,1.32,1.31,1.30,1.29,1.30,1.29,1.28,1.28,1.27,1.27,1.25,1.26,1.26,1.25,1.25,1.25,1.24,1.24,1.23,1.22,1.22,1.22,1.22,1.22,1.22,1.21,1.21,1.20,1.20,1.20,1.19,1.20,1.19,1.18,1.18,1.18,1.18,1.17,1.17,1.17,1.16,1.17,1.17,1.16,1.15,1.16,1.16,1.16,1.15,1.15,1.15,1.14,1.14,1.15,1.14,1.14,1.13,1.13,1.13,1.13,1.12,1.13,1.13,1.12,1.12,1.12,1.12,1.12,1.11,1.11,1.11,1.12,1.11,1.11,1.11,1.10,1.11,1.10,1.10,1.09,1.10,1.10,1.10,1.09,1.10,1.09,1.09,1.09,1.08,1.09,1.09,1.09,1.08,1.08,1.08,1.09,1.07,1.08,1.08,1.08,1.07,1.08,1.08,1.07,1.07,1.07,1.07,1.06,1.06,1.07,1.07,1.06,1.06,1.06,1.06,1.06,1.05,1.06,1.06,1.06,1.06,1.05,1.06,1.05,1.05,1.05,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.04,1.03,1.03,1.04,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.02,1.02,1.02,1.02,1.02,1.02,1.02
$quant_{0.8}(n)$,6.93,8.07,8.87,9.51,10.00,10.42,10.76,11.09,11.37,11.61,11.85,12.06,12.24,12.42,12.58,12.72,12.86,13.01,13.12,13.25,13.36,13.45,13.56,13.68,13.77,13.84,13.92,14.02,14.10,14.18,14.25,14.32,14.39,14.46,14.53,14.60,14.65,14.69,14.78,14.82,14.87,14.93,14.98,15.04,15.07,15.11,15.18,15.22,15.27,15.31,15.35,15.41,15.43,15.48,15.52,15.54,15.59,15.62,15.68,15.70,15.74,15.77,15.80,15.85,15.89,15.91,15.94,15.97,16.00,16.04,16.06,16.09,16.13,16.14,16.18,16.21,16.23,16.26,16.29,16.31,16.35,16.36,16.39,16.42,16.45,16.47,16.48,16.51,16.54,16.56,16.58,16.60,16.64,16.65,16.66,16.69,16.71,16.73,16.75,16.78,16.80,16.81,16.84,16.85,16.88,16.89,16.92,16.94,16.96,16.97,17.00,17.00,17.02,17.04,17.06,17.08,17.10,17.11,17.13,17.15,17.17,17.19,17.20,17.21,17.24,17.25,17.25,17.27,17.30,17.31,17.32,17.34,17.36,17.38,17.39,17.41,17.42,17.43,17.45,17.46,17.48,17.48,17.51,17.52,17.53,17.55,17.55,17.57,17.59,17.59,17.60,17.62,17.64,17.66,17.67,17.69,17.70,17.70,17.72,17.73,17.73,17.76,17.77,17.77,17.79,17.80,17.81,17.82,17.84,17.85,17.85,17.87,17.88,17.89,17.90,17.91,17.93,17.95,17.95,17.96,17.96,17.98,17.99,18.00,18.00,18.02,18.03,18.04,18.06,18.06,18.08,18.08,18.10,18.11,18.11,18.13,18.14,18.14
$quant_{0.95}(n)$,8.73,9.84,10.58,11.17,11.63,11.96,12.29,12.61,12.88,13.08,13.29,13.47,13.65,13.80,13.98,14.10,14.24,14.35,14.49,14.58,14.68,14.79,14.88,14.98,15.05,15.13,15.21,15.28,15.37,15.45,15.50,15.59,15.62,15.72,15.75,15.82,15.88,15.91,15.98,16.03,16.07,16.14,16.18,16.23,16.25,16.30,16.37,16.41,16.43,16.49,16.53,16.57,16.58,16.64,16.66,16.70,16.74,16.78,16.84,16.85,16.88,16.92,16.94,16.98,17.02,17.05,17.07,17.10,17.12,17.17,17.17,17.21,17.26,17.27,17.28,17.33,17.35,17.37,17.40,17.42,17.44,17.47,17.48,17.51,17.54,17.56,17.58,17.61,17.64,17.65,17.66,17.69,17.73,17.73,17.76,17.77,17.78,17.81,17.83,17.85,17.88,17.88,17.91,17.93,17.94,17.96,17.99,18.01,18.03,18.04,18.06,18.06,18.09,18.10,18.13,18.14,18.16,18.17,18.19,18.21,18.22,18.23,18.26,18.27,18.29,18.29,18.31,18.32,18.33,18.36,18.36,18.38,18.41,18.42,18.42,18.44,18.45,18.46,18.48,18.49,18.50,18.51,18.53,18.55,18.56,18.57,18.58,18.60,18.62,18.62,18.62,18.66,18.66,18.67,18.68,18.70,18.72,18.71,18.74,18.75,18.76,18.78,18.78,18.80,18.79,18.81,18.81,18.83,18.86,18.85,18.86,18.88,18.90,18.89,18.89,18.92,18.92,18.95,18.95,18.96,18.97,18.96,18.99,18.99,19.01,19.02,19.03,19.03,19.04,19.06,19.09,19.08,19.10,19.10,19.10,19.12,19.13,19.14
$quant_{0.99}(n)$,10.31,11.40,12.14,12.62,13.08,13.36,13.67,13.97,14.23,14.38,14.54,14.74,14.93,15.08,15.25,15.34,15.47,15.58,15.75,15.80,15.87,15.98,16.04,16.15,16.21,16.29,16.36,16.43,16.51,16.58,16.61,16.74,16.75,16.83,16.87,16.97,17.02,17.02,17.09,17.15,17.17,17.25,17.26,17.32,17.31,17.39,17.45,17.45,17.48,17.57,17.57,17.62,17.65,17.68,17.73,17.75,17.78,17.83,17.85,17.86,17.96,17.98,17.94,18.02,18.06,18.10,18.12,18.17,18.14,18.20,18.17,18.24,18.26,18.33,18.30,18.36,18.35,18.41,18.40,18.44,18.45,18.51,18.47,18.50,18.53,18.58,18.57,18.60,18.63,18.66,18.63,18.69,18.74,18.72,18.76,18.77,18.79,18.81,18.82,18.82,18.87,18.83,18.90,18.90,18.95,18.95,18.96,18.99,18.98,19.03,19.02,19.05,19.07,19.07,19.09,19.11,19.14,19.13,19.15,19.16,19.17,19.21,19.25,19.23,19.27,19.26,19.26,19.29,19.27,19.31,19.31,19.32,19.34,19.36,19.37,19.41,19.43,19.41,19.41,19.45,19.47,19.45,19.49,19.51,19.48,19.51,19.52,19.55,19.58,19.59,19.57,19.59,19.60,19.61,19.62,19.63,19.62,19.65,19.68,19.68,19.70,19.69,19.71,19.71,19.73,19.77,19.73,19.74,19.76,19.79,19.81,19.82,19.84,19.79,19.84,19.83,19.86,19.86,19.88,19.91,19.90,19.88,19.90,19.93,19.94,19.95,19.95,19.95,19.97,19.99,19.98,20.00,20.00,20.03,20.00,20.05,20.04,20.08
$quant_{0.999}(n)$,12.23,13.14,13.81,14.22,14.69,14.95,15.26,15.76,15.75,15.83,16.03,16.24,16.40,16.55,16.71,16.81,16.90,17.06,17.08,17.25,17.34,17.39,17.38,17.59,17.58,17.72,17.71,17.73,17.85,17.89,18.07,18.08,18.04,18.13,18.23,18.31,18.34,18.39,18.44,18.56,18.45,18.55,18.61,18.59,18.70,18.73,18.77,18.74,18.83,18.83,18.79,18.91,19.00,18.96,18.98,18.98,18.97,19.15,19.11,19.14,19.26,19.23,19.23,19.39,19.36,19.28,19.28,19.50,19.35,19.46,19.41,19.44,19.44,19.50,19.63,19.63,19.64,19.68,19.55,19.64,19.67,19.73,19.66,19.66,19.76,19.78,19.77,19.88,19.87,19.89,19.82,19.83,19.89,19.98,19.99,19.96,20.01,20.02,20.06,20.00,20.02,20.04,20.14,20.07,20.14,20.18,20.17,20.25,20.23,20.17,20.25,20.27,20.25,20.19,20.33,20.29,20.31,20.32,20.26,20.33,20.32,20.43,20.45,20.45,20.54,20.40,20.43,20.38,20.38,20.52,20.39,20.42,20.47,20.42,20.53,20.60,20.48,20.60,20.50,20.66,20.66,20.64,20.60,20.65,20.67,20.64,20.72,20.73,20.66,20.71,20.69,20.66,20.79,20.78,20.79,20.79,20.80,20.77,20.77,20.83,20.94,20.81,20.86,20.79,20.82,20.92,20.77,20.83,20.89,20.92,20.89,20.93,20.92,20.85,20.89,20.92,21.06,20.97,20.99,21.09,21.06,21.04,21.05,21.05,21.07,21.01,21.17,21.09,21.08,21.13,21.11,21.07,21.16,21.14,21.10,21.19,21.21,21.24
$quant_{0.9999}(n)$,13.49,14.74,15.35,15.49,16.16,16.41,16.77,17.28,17.18,16.97,17.15,17.33,17.70,17.83,18.04,18.03,18.20,18.45,18.44,18.76,18.64,18.64,18.54,18.80,18.87,19.23,19.01,19.36,19.36,19.14,19.25,19.26,19.40,19.50,19.67,19.85,19.83,19.56,19.64,19.70,19.70,19.88,19.86,19.90,20.40,20.04,20.42,20.20,19.87,20.01,20.04,19.93,20.21,20.17,20.15,20.32,20.27,20.30,20.46,20.22,20.28,20.24,20.23,20.66,20.38,20.44,20.32,20.67,20.59,20.74,20.80,20.69,20.64,20.52,20.80,20.81,20.80,20.79,20.65,20.86,20.99,20.95,20.84,20.85,20.90,21.09,21.10,20.89,21.29,21.06,20.98,20.85,20.83,21.28,21.36,21.26,21.20,21.02,20.91,20.94,21.26,21.24,21.20,20.98,21.01,21.47,21.58,21.44,21.34,21.19,21.25,21.42,21.18,21.24,21.49,21.42,21.44,21.38,21.61,21.57,21.64,21.48,21.37,21.70,21.59,21.36,21.94,21.39,21.48,21.78,21.59,21.59,21.62,21.36,21.79,21.71,21.56,21.83,21.59,21.71,21.75,21.70,21.73,21.63,21.68,21.56,21.80,21.95,21.95,21.79,21.82,21.81,21.65,21.79,21.89,21.93,21.64,21.96,21.62,21.91,22.04,21.86,21.93,22.02,22.12,22.05,22.12,21.75,21.90,21.94,21.94,22.05,21.99,21.91,21.75,22.01,22.10,21.74,22.02,22.20,22.02,22.05,21.95,22.31,22.43,22.00,22.01,22.06,22.19,22.22,22.28,22.25,22.28,22.30,22.27,22.35,22.04,22.22
